id@title@content@regular price@height-product@load@rigidity-product@set-of-springs@size-product@image@categories
59@Tonny (Тони)@<div id="description" class="box js-box">  <p>LINEAFLEX предлагает серию детских матрасов.<br /><br />Вся продукция сертифицирована и соответствует всем санитарно-гигиеническим стандартам качества.&nbsp;</p>  <p>Беспружинный детский матрас Tonny с великолепными анатомическими свойствами, благодаря использованию кокосовой койры и натуральной пены ERGOFLEX. Рекомендуемая нагрузка до 50 кг.<br /><br /></p>          </div><table border="0" cellspacing="0" cellpadding="0">  <tbody>  <tr valign="top">  <td align="left" width="280"><img src="http://www.lineaflex.ru/files/project_2016/kokos.png" alt="kokos" width="123" height="123" /><img src="http://www.lineaflex.ru/files/project_2016/ergoflex.png" alt="ergoflex" width="123" height="123" /></td>  <td align="left">Кокосовая койра - великолепный натуральный материал. Обладает такими важными для здоровья человека свойствами как антиаллергенность, антистатичность, гигроскопичность. Благодаря жесткости кокоса, матрас обладает высокими ортопедическими свойствами. Ergoflex &ndash; недеформируемая, эластичная пена, которая позволяет матрасу хорошо адаптироваться под тело ребенка.</td>  </tr>  </tbody>  </table><table border="0" cellspacing="0" cellpadding="0">  <tbody>  <tr valign="top">  <td align="left" width="280"><img src="http://www.lineaflex.ru/files/project_2016/hlopok.png" alt="hlopok" width="123" height="123" /><img src="http://www.lineaflex.ru/files/project_2016/t1.png" alt="t1" width="123" height="123" /></td>  <td align="left">Чехол матраса выполнен в хлоковом жаккарде. Специальные включения в структуру ткани, делают его мягким, шелковистым на ощупь и более прочным. Хлопковое волокно обладает хорошей совместимостью с кожей человека. Являясь натуральным материалом,обладает такими свойствами как антиаллергенность и антистатичность.</td>  </tr>  </tbody>  </table>@@10@50 кг@средняя@"беспружинный"@@http://www.lineaflex.ru/files/project_2016/good/1352291408_1_mini5.jpg@catalog>mattresses-children>linea-bambina
59@Tonny (Тони)@@3467@@@@@60x120@@
59@Tonny (Тони)@@4623@@@@@60x160@@
59@Tonny (Тони)@@5490@@@@@60x190@@
59@Tonny (Тони)@@5634@@@@@60x195@@
59@Tonny (Тони)@@5779@@@@@60x200@@
59@Tonny (Тони)@@4045@@@@@70x120@@
59@Tonny (Тони)@@4719@@@@@70x140@@
59@Tonny (Тони)@@5393@@@@@70x160@@
59@Tonny (Тони)@@6405@@@@@70x190@@
59@Tonny (Тони)@@6573@@@@@70x195@@
59@Tonny (Тони)@@6742@@@@@70x200@@
59@Tonny (Тони)@@6164@@@@@80x160@@
59@Tonny (Тони)@@7319@@@@@80x190@@
59@Tonny (Тони)@@7512@@@@@80x195@@
59@Tonny (Тони)@@7705@@@@@80x200@@
59@Tonny (Тони)@@6934@@@@@90x160@@
59@Tonny (Тони)@@8234@@@@@90x190@@
59@Tonny (Тони)@@8451@@@@@90x195@@
59@Tonny (Тони)@@8668@@@@@90x200@@
59@Tonny (Тони)@@9246@@@@@120x160@@
59@Tonny (Тони)@@10979@@@@@120x190@@
59@Tonny (Тони)@@11268@@@@@120x195@@
59@Tonny (Тони)@@11557@@@@@120x200@@
59@Tonny (Тони)@@10787@@@@@140x160@@
59@Tonny (Тони)@@12809@@@@@140x190@@
59@Tonny (Тони)@@13146@@@@@140x195@@
59@Tonny (Тони)@@13483@@@@@140x200@@
